username,judul video,text,tanggal publish
@kholer26,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Gila gue nontn ini pke hp samsung j1 young😁😂,2025-01-31T15:58:32Z
@Nailla84,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Di singapore, tempat david buat video tiap minggu qw kesana jln2
Tp klo liat konter hp iphone... Bisa beli
Tp saya kaum mendang mending
Mending buat makan😂 krn kerja capek😢",2025-01-31T14:37:14Z
@kesekian25,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Sekarang di Indonesia sudah ilegal, apakah sinyal di Indonesia aman bang",2025-01-30T17:05:33Z
@EsaRachmawan,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Make kebeli ip cmn ip 5😭
Mudah mudahan dpt rezeky yg ga terduga ya allah amin",2025-01-30T10:05:23Z
@cia_tupang12,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"W cm nonton,wkwk 
Ga pernah pake iphone",2025-01-30T02:07:21Z
@adenuansa.l6654,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Bismillah ,kadoin istri 15 pro besok 30 januari ,mudah2an berkah dan brmanfaat dan digantikan dengan rzeki yg berkali2 lipat keluarga hamba  .aamiin",2025-01-29T01:43:16Z
@abbaszul07,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Abang pake kamera apa sih .di luar bisa bagus. Clear . Boleh saran untuk rekomendasi.kamera? Untuk konten? Makasih,2025-01-26T03:03:10Z
@anitafidiani1987,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Sdh punya IPhone 14 promax tp masih pengen yg 16 promax,😢 semoga abis lebaran bisa ganti 16 promax🤲",2025-01-26T00:47:48Z
@idamardiana4081,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"kamera control.. 
hp sony dari jaman 2000an udah ada bang david.. 
menurut gw sony paling mendominasi si kalo masih ada.. 
🙏",2025-01-25T07:37:46Z
@Master_haikal284,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Aku nunggu second 10 tahun lagi bang 😂,2025-01-25T03:00:19Z
@aprilzai7083,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Sampai seri Iphone 16 pro max saya masih nonton aja dulu,saya tunggu di PRO MAX 30 aja...baru joss😂😂😂",2025-01-25T00:50:41Z
@MLBB104A,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,SE 4 bg,2025-01-24T10:08:09Z
@BlackCard-e1b,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Di Indo blm ada keliatannya,2025-01-24T04:28:00Z
@divandaproduction6505,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Aku sayang caca,2025-01-23T15:49:25Z
@ammarattamimi7821,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,charger iphone pake charger apa aja ga resik kaj?,2025-01-23T11:26:54Z
@dininazira5627,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,nnton ini baru bisa kebeli ip 12 pro second😂😂😂,2025-01-23T01:46:10Z
@JefriRamdani-b4q,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Alhamdulillah sudah kebeli 16 pro max 512 GB❤,2025-01-22T22:12:50Z
@hasanbermalam9680,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Tetep juara ya iphone dari penonton nya aja banyak,2025-01-22T06:06:31Z
@mantri_mugeni,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,hasil camera.nya kok 😢😢,2025-01-21T15:26:40Z
@Mazzeuyi,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Masih setia iphone 7 dari tahun 2018 sampe sekarang. Karena belum mampu buat upgrade.😭😭,2025-01-21T00:13:01Z
@Entripsiman,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,IPHONE😭😭😭😭😭😭😭🥹😭🥹😭🥹🙏🙏🙏🙏🙏,2025-01-20T22:35:50Z
@Entripsiman,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,SERAKAHHHH,2025-01-20T22:35:30Z
@Entripsiman,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,GUA UDAH NGALAH MEREKA RAKUSS BANYAK IPHONE,2025-01-20T22:34:44Z
@hanstehuayo5150,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Focus denda Singapur 😮😮😮,2025-01-20T09:13:33Z
@adamzaid3605,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Kenapa gambar di varian pro mcam camera hp jadul ja mas 😅,2025-01-19T18:37:05Z
@karyadisarki2287,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Alhamdulilah,,,sdh punya iphone 16 pro, hasil dari download....",2025-01-19T16:33:33Z
@yusufabdillahxyz,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Rata-rata penghasilan Gen Z di Indonesia adalah kurang dari Rp2,5 juta per bulan.
Angka ini didasarkan pada laporan Indonesia Gen Z Report 2024 dari IDN Research Institute. 
🔴⚪",2025-01-18T14:54:47Z
@user-fx1cf4rh1p,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,yg iphone 16 Pro Mantap,2025-01-18T09:22:19Z
@AdonPomange,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Banyak yg TDK sadar klw iPhone itu..harga mahal fitur..nanggung..,2025-01-17T23:09:21Z
@iqbalmartinez3011,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Kapan yaa bisa beli iPhone 😢,2025-01-17T15:00:11Z
@cosmegarcons5142,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Imeiny bisa dipakai?,2025-01-17T10:42:32Z
@yanzchannel1675,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Masih bertahan di seri 13pro, nunggu murah aja lah😂",2025-01-16T08:28:53Z
@Avatar16888,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Bro Saran ajah nih, kalo bisa buat text nya yg bahasa Inggris juga
Agar bisa menjaring penonton dari luar dari Indonesia bro",2025-01-15T14:39:32Z
@JonahNineveh,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"tim males beli, sebelum bikin pabrik di tanah air",2025-01-15T11:53:19Z
@anggisyahchannel9303,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,a' rev iphone 17 a',2025-01-15T11:16:19Z
@ItalaeliAizah,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Nungguin iphone 17 😂,2025-01-15T09:31:25Z
@idasumiyati2612,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Skrg udh januari info info,2025-01-15T05:39:53Z
@singai9509,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,"Mas, mau  nanya nih pasang anti gores hydrogel di belakang iPhone 16 apa tidak ada pengaruh pake cas powerbank . Thanks ya",2025-01-15T05:27:30Z
@AkhirJaman-e8p,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Nunggu ada yg ketinggalan ip 16 di toilet bandara 🤪,2025-01-14T14:42:50Z
@amsekhamzah1239,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Iphone 😂tidak semulus itu videonya,2025-01-14T09:50:55Z
@aynahanifah-xk7df,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,Disana semua org kaya atau gimana si. Banyak kelihatan toko usaha tapi sepi rapi tidak semrawut. Sebatas ibu kota negara Indonesia aja pasti banyak sampah org kerja dari berbagai macam pekerjaan super sibuk knpa disana senyap sepi bersih luar biasa.,2025-01-14T08:47:02Z
@Kalis-15,Rp45 JUTA... UNBOXING iPhone 16 & 16 PRO!!!,ditunggu review harga cukai iphone nya bang kena berapa 😁,2025-01-14T05:19:05Z
